palavra,relevancia
torta,4.456427225433909
pudim,3.753504688553287
bolinho,3.5787791319740143
bacalhau,3.3509755150270633
nhoque,3.2800527750322774
pao,3.1429306730867483
gelado,3.0815627033019317
destinations,2.971796837656449
pavê,2.953863435523417
docinhos,2.914406142986942
geléia,2.9003152182298897
pernil,2.8759304054516837
lasanha,2.852901022356796
frango,2.8071270717272188
calda,2.7761544283133857
macarrão,2.7103399945550266
rocambole,2.6854619395927273
coxinhas,2.654877749051812
docinho,2.616006073023668
cheesecake,2.6097512429989433
aipim,2.6097512429989433
farofa,2.6061426503149807
cuscuz,2.4871084948352795
lombo,2.48007096099905
tortinha,2.457935943701222
tupperware,2.384729075294114
abobrinha,2.355332190574769
salgadinhos,2.3513406406587416
ricota,2.3264405806780646
brownie,2.3254765988420645
cuca,2.3254765988420645
porco,2.319571950205498
orkut,2.3022507800989187
camarão,2.2814422168843222
postada,2.2528616273063693
aveia,2.251806144451053
rosca,2.2419336756006483
maionese,2.2345154191672356
limao,2.2340312819160704
trufa,2.2087200594387766
estrogonofe,2.196814266195251
moqueca,2.185357856921137
velvet,2.1745250149620627
filé,2.1728588561847197
churros,2.0371140689521727
fuba,2.0360541621636474
amoras,2.0360541621636474
[…],2.0290561917229306
maçã,2.019024490413709
apostilas,2.0171612707670086
panela,2.0147352848157323
panqueca,1.9922978599705337
batendo,1.9837439779372448
deu,1.970316103066486
assistam,1.9608335474847276
napolitano,1.9608335474847276
geladas,1.9480763182704353
usou,1.9337536387510725
bolacha,1.9140315608464882
quiche,1.9024879058935047
hambúrguer,1.894060903066691
abóbora,1.8840469320613762
assados,1.8823647999548836
caçarola,1.8728557035915157
farinha,1.8700877199305486
amendoim,1.8511650770212678
frigideira,1.8481397166627853
brigadeiros,1.8462424469348857
gluten,1.837941072497038
tapioca,1.800290061008932
benta,1.7999801389993324
nata,1.7731390206010416
copinho,1.7731390206010416
23:14,1.7668382016915223
açafrão,1.7606856511908573
repolho,1.7160719699781923
carreteiro,1.7160719699781923
ervas,1.6988253183203306
legal!,1.6916175870126027
rosquinhas,1.67780230082021
prestigio,1.67780230082021
folhada,1.67780230082021
chantily,1.67780230082021
sardinha,1.6650043303559725
frescal,1.6597725752346093
macarons,1.6597725752346093
c/,1.6322408925598708
jujuba,1.6278308389665979
(receita,1.6278308389665979
voce,1.6248436231561232
bombons,1.6222995103862874
quibe,1.6135347482333067
berinjela,1.611769040333516
proporção,1.604452745362856
gramado,1.6026752318365516
esfiha,1.6001616484609678
escondidinho,1.6001616484609678
gorgonzola,1.5875995521823234
fabricando,1.5757556927687975
beijinhos!,1.5757556927687975
