palavra,relevancia
mármore,5.833777920042529
"juliana,",5.772869418743419
granito,5.6992696159764415
"manteiga,",5.158187549175862
mármores,4.513494469386839
lavatório,4.4543124815496755
juliana!,4.280390686285018
granitos,4.15973029572628
manteiga.,4.145702536465033
confeiteiro,4.14284416144329
margarina,3.836646023263132
"geladeira,",3.6866352216031464
soleira,3.602200958617797
açucar,3.4766460532793557
"receita,",3.382433644093701
merengue,3.3195451504692186
corante,3.311231520847154
cotar,3.2634298068495045
confeitar,3.151696965500766
testei,3.073622004679498
"chocolate,",3.0406377649871903
juliana.,3.028768783613926
travertino,3.0049913826856485
hahahaha.,2.939861798913858
marmoraria,2.864255767058688
"sal,",2.847771453817274
"açúcar,",2.8397800759331178
balcão,2.787945755397189
""",""",2.7585634716039844
m2,2.7109503211079957
"líquido,",2.6895107353686436
batedor,2.6738153422992306
pingadeira,2.654877749051812
sal,2.601536863156728
senão,2.584190305973133
"cobertura,",2.5827963585353704
ode,2.4871084948352795
"receitas,",2.485054433877187
ana!,2.457935943701222
230g,2.457935943701222
"mármore,",2.44567543313156
"condensado,",2.4315228731325065
"bruna,",2.4072252035697757
líquido.,2.386233746283174
receita!,2.365105192073611
marmore,2.365105192073611
honestamente,2.3637856809200617
receita.,2.3254765988420645
"honestamente,",2.292027783359066
iniciais.,2.292027783359066
adorando,2.291748938409565
140g,2.2616465671884294
lareira,2.2576061404205108
bastante!,2.2475250063266974
"servir,",2.2087200594387766
oii,2.196814266195251
dúvida.,2.1962937138114924
"gel,",2.192473310163596
geladeira.,2.1743181379195895
derreter,2.1743181379195895
refinado,2.1519868787542644
duvida,2.1266987976421925
eh,2.1266987976421925
mto,2.1266987976421925
errado?,2.1065809457071443
vez!,2.098029427652297
amido,2.083181264542732
"margarina,",2.073470930361908
bati,2.073470930361908
francieli,2.073470930361908
supermercado.,2.019179189075951
bjinhos,2.019179189075951
acrescente,1.993832691128893
pitada,1.9806210813104088
usar.,1.9804469098915096
"mole,",1.9742452734913423
beijos!!,1.9742452734913423
começei,1.9742452734913423
"gostoso,",1.9639072005450646
creme.,1.9608335474847276
aqui…,1.9480763182704353
"errar,",1.9359126678173257
rsrs…,1.9359126678173257
"fazer,",1.9322538013668555
receitas.,1.9281531217082202
carol!,1.9242898062478064
(:,1.9242898062478064
"colorida,",1.9242898062478064
blog!!!,1.9242898062478064
quente.,1.9233725691146168
"creme,",1.9131616871759576
dúvida:,1.9094666806000733
omitir,1.9024879058935047
cobrir,1.8858938782830827
condicionado.,1.8823647999548836
bata,1.8648674996362387
resolvi,1.8591896370874492
conservar,1.8556711010330067
pq,1.8538216217536132
certo!,1.84082469243938
