,palavra,relevancia
0,riachuelo,8.378763843447578
1,soil,7.882439711900808
2,teens,6.914087807944809
3,great.,6.683526884745895
4,i’m,6.587384961277829
5,responda,6.58399381824705
6,cool.,6.554107335323577
7,forward,6.48867612719286
8,rchlo,6.384720996588554
9,thank,6.328807730846682
10,i’ll,6.319928024771057
11,levi's,6.313044381390977
12,appreciate,6.310778353563317
13,"cachecol,",6.3100349048863285
14,really,6.30764695153316
15,article.,6.29904898393505
16,you!,6.264579233323951
17,more.,6.2321536658164005
18,nfl,6.208421463312811
19,suéter,6.196256862404943
20,grow,6.180697312642146
21,writing.,6.139480882653706
22,"education,",6.129436513946753
23,bahls,6.091145457070974
24,jerseys,6.085719813604868
25,cells,6.064057145561836
26,enjoyed,6.047435310109896
27,loans,5.993716764971986
28,{{item.name}},5.991479887551308
29,íntima,5.990699037868668
30,this.,5.988677304928174
31,helpful,5.946616750233836
32,excellent,5.926156346167428
33,i’d,5.921067598195036
34,brides,5.902947769471932
35,perfume,5.850905801408288
36,awesome.,5.847106763963664
37,pool,5.827498079425903
38,lot,5.7887070829108715
39,again.,5.770557417494633
40,"salgueiro,",5.767441919533278
41,(p,5.745598442921946
42,v:,5.743262827887056
43,surfwear,5.74241271420548
44,meninos,5.732852326942641
45,certainly,5.708928469558002
46,educational,5.702325883248314
47,useful,5.684958846249689
48,very,5.648846265763274
49,definitely,5.629849590431892
50,fantastic,5.626617075592149
51,disse:,5.616157297647762
52,gorro,5.603223183056943
53,defensive,5.594996726756914
54,weblog,5.582094842044518
55,his,5.564962394313246
56,dating,5.561447103597917
57,"wow,",5.5578492350871445
58,football,5.554461309830634
59,stumbled,5.5348726849753245
60,sizecalça,5.534378578624579
61,glad,5.5219694275335
62,payday,5.521784278539867
63,ak,5.517126943207969
64,could,5.516538416979971
65,bride,5.5095873210724795
66,inspire-se:,5.502457231963849
67,environmental,5.499203240330479
68,it’s,5.486862745329789
69,truly,5.4694833483926635
70,meninasver,5.467047557226703
71,colônias,5.460682838577504
72,carter's,5.450629597059949
73,cm),5.442918126765245
74,you’re,5.439628221501062
75,looking,5.4356546098389
76,blusões,5.413826256994435
77,think,5.411003677883677
78,here.,5.403134557916676
79,he,5.394151229890007
80,eau,5.38916232187422
81,bufantes,5.385462972469937
82,sent,5.365749565946229
83,reprodução/,5.359056210433279
84,patients,5.35241326651704
85,givenchy,5.350679728073704
86,would,5.344563426101736
87,suéteres,5.342372752264284
88,m·a·c,5.340958786765194
89,loved,5.339733218081051
90,bookmarked,5.327590588162454
91,cbd,5.327421291308122
92,you’ve,5.3271171089332565
93,posta,5.325873448931105
94,shiseido,5.323736937885473
95,economic,5.3230541321391796
96,casaco,5.321561909765721
97,'s,5.32000098427693
98,treated,5.31289923618334
99,guerlain,5.3121193834784135
